project_name,domain,description,technologies,difficulty,dataset,learning_topics
Algorithmic Trading Bot,Data Science,Develop an automated trading strategy backtester using TA-Lib indicators and reinforcement learning.,Python Stable-Baselines3 Pandas Plotly,Intermediate,Kaggle Dataset,Time Series
Fall Detection Wearable Model,Machine Learning,Detect elderly falls from accelerometer data using SVM and sliding window feature extraction.,Python Scikit-learn Pandas NumPy,Beginner,Open Dataset,Classification
Medical Chatbot for Symptom Triage,NLP,Build a conversational symptom checker that maps user inputs to potential diagnoses using LLM fine-tuning.,Python Transformers FastAPI Streamlit,Beginner,Synthetic Dataset,Natural Language Processing
Resume Parser + Job Matcher,NLP,Extract skills and experience from resumes and match them to job postings using semantic similarity.,Python SpaCy Transformers Scikit-learn,Beginner,Research Dataset,Natural Language Processing
Fraud Transaction Detector,Machine Learning,Detect fraudulent credit-card transactions in real time using an anomaly-detection pipeline with isolation forest.,Python Scikit-learn XGBoost Pandas,Intermediate,Web-Scraped Dataset,Classification
Cryptocurrency Sentiment Dashboard,NLP,Aggregate crypto news and Twitter sentiment scores to generate buy/sell signals using VADER + RoBERTa.,Python Transformers Pandas Streamlit,Intermediate,Government Dataset,Natural Language Processing
House Price Estimator,Machine Learning,"Estimate residential property values from location, size, and amenity features using XGBoost with maps.",Python XGBoost Scikit-learn Pandas,Intermediate,Government Dataset,Regression
Clinical Note Summariser,NLP,Summarise lengthy physician notes into structured SOAP format using a transformer seq2seq model.,Python Transformers HuggingFace FastAPI,Advanced,Open Dataset,Natural Language Processing
Customer Lifetime Value Predictor,Data Science,Estimate customer LTV using BG-NBD and Gamma-Gamma models with RFM segmentation.,Python Lifetimes Pandas Plotly,Advanced,Web-Scraped Dataset,Regression
Patient Readmission Predictor,Data Science,Forecast hospital readmission within 30 days using structured EHR data and gradient boosting.,Python XGBoost Scikit-learn Pandas,Advanced,Public Dataset,Classification
Employee Attrition Predictor,Machine Learning,Identify employees at risk of resignation using HR features with XGBoost and SHAP explainability.,Python XGBoost Scikit-learn Pandas,Beginner,API-Collected Dataset,Classification
Explainable AI Dashboard,Machine Learning,Build a SHAP + LIME dashboard that explains any black-box model's predictions interactively.,Python SHAP Scikit-learn Streamlit,Advanced,Open Dataset,Classification
Vehicle Detection System,Computer Vision,Count and classify vehicles from traffic cameras using YOLOv8 with lane-level analytics.,Python PyTorch Ultralytics OpenCV,Beginner,Kaggle Dataset,Computer Vision
Employee Attrition Predictor,Machine Learning,Identify employees at risk of resignation using HR features with XGBoost and SHAP explainability.,Python XGBoost Scikit-learn Pandas,Intermediate,Web-Scraped Dataset,Classification
Wildfire Smoke Detector,Computer Vision,Detect wildfire smoke from satellite imagery using CNN classification with geographic overlays.,Python PyTorch OpenCV Matplotlib,Beginner,Government Dataset,Computer Vision
Plant Disease Identifier,Computer Vision,Classify plant leaf diseases from photos using a fine-tuned EfficientNet-B4 multiclass model.,Python TensorFlow Keras OpenCV,Intermediate,Open Dataset,Computer Vision
Salary Prediction Tool,Machine Learning,"Predict job salaries from role, skills, location, and experience using gradient boosting regression.",Python XGBoost Scikit-learn Pandas,Intermediate,Synthetic Dataset,Regression
Music Playlist Generator,Machine Learning,"Generate personalised playlists by clustering audio features (BPM, key, energy) using k-means + cosine sim.",Python Scikit-learn Librosa Pandas,Intermediate,Web-Scraped Dataset,Recommendation Systems
Movie Box-Office Predictor,Data Science,"Forecast box-office revenue from cast, budget, genre, and trailer sentiment using gradient boosting.",Python XGBoost Scikit-learn Pandas,Advanced,Research Dataset,Regression
Flood Risk Mapper,Machine Learning,Map flood-prone zones using satellite DEM data and rainfall patterns with a random forest classifier.,Python Scikit-learn GeoPandas Rasterio,Advanced,API-Collected Dataset,Classification
Clinical Note Summariser,NLP,Summarise lengthy physician notes into structured SOAP format using a transformer seq2seq model.,Python Transformers HuggingFace FastAPI,Advanced,Public Dataset,Natural Language Processing
Solar Power Output Forecaster,Data Science,Predict solar panel output from irradiance and temperature forecasts using XGBoost regression.,Python XGBoost Pandas Plotly,Beginner,Open Dataset,Regression
Parking Occupancy Predictor,Data Science,Predict parking lot occupancy from sensor and time data using random forest regression.,Python Scikit-learn Pandas Plotly,Advanced,Public Dataset,Regression
Log Anomaly Detector,Machine Learning,Detect anomalous server log patterns signalling attacks using isolation forest and autoencoder.,Python PyTorch Scikit-learn Pandas,Intermediate,Web-Scraped Dataset,Deep Learning
Face Recognition Access System,Computer Vision,Build a face-recognition attendance system using FaceNet embeddings and cosine similarity matching.,Python TensorFlow OpenCV DeepFace,Beginner,Research Dataset,Computer Vision
Irrigation Optimiser,Data Science,Recommend irrigation schedules based on soil moisture sensors and weather forecasts using LSTM.,Python TensorFlow Pandas Plotly,Intermediate,Synthetic Dataset,Time Series
Music Genre Classifier,Machine Learning,"Classify music tracks into genres from MFCC, chroma, and spectral features using SVM and random forest.",Python Librosa Scikit-learn Pandas,Advanced,Public Dataset,Classification
Real-Time Object Detector,Computer Vision,Detect and track objects in live video streams using YOLOv8 with custom dataset fine-tuning.,Python PyTorch OpenCV Ultralytics,Beginner,Public Dataset,Computer Vision
Smart Home Energy Monitor,Data Science,Disaggregate appliance-level energy consumption from smart-meter readings using NILM techniques.,Python Scikit-learn Pandas Plotly,Advanced,API-Collected Dataset,Time Series
Flight Delay Predictor,Machine Learning,"Predict flight delays from weather, carrier, and airport data using gradient boosting classification.",Python XGBoost Scikit-learn Pandas,Advanced,Kaggle Dataset,Classification
Multilingual Text Classifier,NLP,Classify documents in 10 languages into predefined categories using XLM-RoBERTa fine-tuning.,Python Transformers HuggingFace Pandas,Beginner,Public Dataset,Natural Language Processing
Traffic Flow Predictor,Data Science,Predict road traffic density per segment using historical GPS probe data and weather with LSTM.,Python TensorFlow Pandas Folium,Beginner,Web-Scraped Dataset,Time Series
Air Quality Index Forecaster,Data Science,Predict AQI 24 hours ahead using sensor readings and meteorological data with SARIMA and LSTM.,Python TensorFlow Pandas Prophet,Beginner,Research Dataset,Time Series
Smart Home Energy Monitor,Data Science,Disaggregate appliance-level energy consumption from smart-meter readings using NILM techniques.,Python Scikit-learn Pandas Plotly,Advanced,Synthetic Dataset,Time Series
Predictive Maintenance System,Machine Learning,Predict machine failures from IoT sensor vibration and temperature data using LSTM and isolation forest.,Python TensorFlow Scikit-learn Pandas,Intermediate,Synthetic Dataset,Time Series
COVID-19 X-Ray Classifier,Computer Vision,"Classify chest X-rays as COVID-19, pneumonia, or normal using transfer learning with ResNet.",Python TensorFlow Keras OpenCV,Intermediate,Synthetic Dataset,Deep Learning
Energy Consumption Predictor,Data Science,Forecast building energy consumption from smart-meter readings using gradient boosting and feature engineering.,Python LightGBM Pandas Plotly,Intermediate,Synthetic Dataset,Time Series
Delivery Route Optimiser,Data Science,Optimise last-mile delivery routes using the vehicle routing problem (VRP) with OR-Tools and demand clustering.,Python OR-Tools Pandas NumPy,Intermediate,Government Dataset,Regression
Influencer Engagement Predictor,Data Science,"Predict Instagram post engagement rate from caption features, hashtags, and posting time.",Python Scikit-learn Pandas Matplotlib,Advanced,Public Dataset,Regression
Content Moderation Classifier,NLP,Automatically flag toxic and rule-violating content using a multi-label BERT classifier.,Python Transformers HuggingFace Pandas,Beginner,Synthetic Dataset,Natural Language Processing
Language Detection System,NLP,Identify the language of user-provided text across 50+ languages using n-gram language models.,Python Scikit-learn Langdetect Pandas,Beginner,Research Dataset,Natural Language Processing
Age and Gender Estimator,Computer Vision,Estimate age and gender from facial images using deep CNNs trained on the UTKFace dataset.,Python TensorFlow OpenCV DeepFace,Intermediate,Research Dataset,Computer Vision
Hyperparameter Tuning Engine,Machine Learning,Automate hyperparameter search using Bayesian optimisation (Optuna) and compare CV results.,Python Optuna Scikit-learn XGBoost,Advanced,Public Dataset,Classification
Question Answering Chatbot,NLP,Build a context-aware QA bot using RAG (retrieval augmented generation) with FAISS and GPT.,Python Transformers FAISS LangChain,Advanced,Research Dataset,Natural Language Processing
Music Playlist Generator,Machine Learning,"Generate personalised playlists by clustering audio features (BPM, key, energy) using k-means + cosine sim.",Python Scikit-learn Librosa Pandas,Advanced,Synthetic Dataset,Recommendation Systems
Autonomous Lane Detection,Computer Vision,Detect lane markings on roads from dashcam video using Hough transform and CNN segmentation.,Python OpenCV TensorFlow NumPy,Intermediate,Research Dataset,Computer Vision
Named Entity Recognition System,NLP,"Extract and classify entities (person, org, location) from text using SpaCy + custom training.",Python SpaCy Transformers Pandas,Advanced,Research Dataset,Natural Language Processing
Portfolio Optimiser,Data Science,Build a mean-variance portfolio optimisation tool with Monte Carlo simulations and Sharpe-ratio maximisation.,Python NumPy Pandas Plotly,Intermediate,Research Dataset,Regression
Brain Tumor Segmentation,Computer Vision,Segment brain MRI scans to localise and grade tumour regions using U-Net architecture.,Python PyTorch OpenCV Scikit-learn,Advanced,Kaggle Dataset,Computer Vision
Flood Risk Mapper,Machine Learning,Map flood-prone zones using satellite DEM data and rainfall patterns with a random forest classifier.,Python Scikit-learn GeoPandas Rasterio,Intermediate,Web-Scraped Dataset,Classification
GAN-Based Face Generator,Computer Vision,Generate photorealistic human faces using a progressive GAN with latent-space interpolation.,Python PyTorch TensorFlow NumPy,Advanced,Synthetic Dataset,Deep Learning
Movie Recommendation System,Machine Learning,Recommend movies using matrix factorisation (SVD) on the MovieLens dataset with cold-start handling.,Python Surprise Scikit-learn Pandas,Intermediate,Research Dataset,Recommendation Systems
Waste Classification System,Computer Vision,"Classify waste images into recyclable categories (paper, plastic, glass) using ResNet-50 transfer learning.",Python TensorFlow Keras OpenCV,Intermediate,Kaggle Dataset,Computer Vision
Game Bot with Reinforcement Learning,AI,Train an RL agent to play Atari games using Deep Q-Network (DQN) with experience replay.,Python Stable-Baselines3 Gym PyTorch,Beginner,Synthetic Dataset,Deep Learning
Customer Churn Predictor,Machine Learning,Identify customers likely to cancel subscriptions using XGBoost with cohort analysis visualisations.,Python XGBoost Scikit-learn Pandas,Intermediate,Synthetic Dataset,Classification
Flood Risk Mapper,Machine Learning,Map flood-prone zones using satellite DEM data and rainfall patterns with a random forest classifier.,Python Scikit-learn GeoPandas Rasterio,Advanced,Research Dataset,Classification
Soil Health Analyser,Data Science,Analyse soil test data to predict soil health scores and recommend fertilisers using regression models.,Python Scikit-learn Pandas Plotly,Intermediate,Web-Scraped Dataset,Regression
Restaurant Recommender App,Machine Learning,Suggest restaurants from Yelp data using hybrid collaborative + content-based filtering.,Python Scikit-learn Surprise Pandas,Advanced,Public Dataset,Recommendation Systems
House Price Estimator,Machine Learning,"Estimate residential property values from location, size, and amenity features using XGBoost with maps.",Python XGBoost Scikit-learn Pandas,Intermediate,API-Collected Dataset,Regression
Code Comment Generator,NLP,Generate docstrings and inline comments for Python functions using a fine-tuned CodeBERT model.,Python Transformers HuggingFace FastAPI,Advanced,Government Dataset,Natural Language Processing
Predictive Maintenance System,Machine Learning,Predict machine failures from IoT sensor vibration and temperature data using LSTM and isolation forest.,Python TensorFlow Scikit-learn Pandas,Advanced,Kaggle Dataset,Time Series
Book Recommendation Engine,Machine Learning,Recommend books using content-based filtering on TF-IDF of descriptions and user reading history.,Python Scikit-learn Pandas Streamlit,Advanced,API-Collected Dataset,Recommendation Systems
Credit Score Predictor,Machine Learning,Build a credit-scoring model using customer financial history with feature importance and SHAP.,Python Scikit-learn XGBoost Pandas,Intermediate,Public Dataset,Classification
Plagiarism Detector,NLP,Detect text plagiarism using sentence embeddings (SBERT) and cosine similarity at paragraph level.,Python Transformers Scikit-learn Pandas,Advanced,Research Dataset,Natural Language Processing
Language Detection System,NLP,Identify the language of user-provided text across 50+ languages using n-gram language models.,Python Scikit-learn Langdetect Pandas,Advanced,Synthetic Dataset,Natural Language Processing
Crop Disease Diagnosis App,Computer Vision,Identify crop diseases from leaf images in the field using a lightweight MobileNet model for edge deployment.,Python TensorFlow Lite OpenCV Pandas,Intermediate,Web-Scraped Dataset,Computer Vision
Crop Disease Diagnosis App,Computer Vision,Identify crop diseases from leaf images in the field using a lightweight MobileNet model for edge deployment.,Python TensorFlow Lite OpenCV Pandas,Beginner,Public Dataset,Computer Vision
COVID-19 X-Ray Classifier,Computer Vision,"Classify chest X-rays as COVID-19, pneumonia, or normal using transfer learning with ResNet.",Python TensorFlow Keras OpenCV,Intermediate,Kaggle Dataset,Deep Learning
Clinical Note Summariser,NLP,Summarise lengthy physician notes into structured SOAP format using a transformer seq2seq model.,Python Transformers HuggingFace FastAPI,Beginner,API-Collected Dataset,Natural Language Processing
Adaptive Quiz Generator,NLP,Generate difficulty-adapted quiz questions from study material using GPT fine-tuning and knowledge graphs.,Python Transformers HuggingFace FastAPI,Advanced,Research Dataset,Natural Language Processing
Twitter Trend Forecaster,NLP,Forecast trending topics on Twitter 6 hours ahead using NLP feature extraction and time-series regression.,Python Transformers Pandas Prophet,Intermediate,Open Dataset,Natural Language Processing
Question Answering Chatbot,NLP,Build a context-aware QA bot using RAG (retrieval augmented generation) with FAISS and GPT.,Python Transformers FAISS LangChain,Advanced,Kaggle Dataset,Natural Language Processing
Pothole Detection System,Computer Vision,Automatically detect road potholes from dashcam footage using semantic segmentation with DeepLab.,Python TensorFlow OpenCV Pandas,Intermediate,Research Dataset,Computer Vision
ImageNet Style Transfer App,Computer Vision,Apply artistic styles to photos using neural style transfer with VGG-19 and Gram matrix optimisation.,Python PyTorch TensorFlow OpenCV,Advanced,Public Dataset,Deep Learning
Diabetic Retinopathy Detector,Computer Vision,Detect diabetic retinopathy in fundus images using convolutional neural networks to assist ophthalmologists.,Python TensorFlow Keras OpenCV,Intermediate,Public Dataset,Computer Vision
Insurance Premium Estimator,Machine Learning,Estimate insurance premium quotes from customer demographics and history using gradient boosted trees.,Python XGBoost Scikit-learn Pandas,Intermediate,Public Dataset,Regression
Music Playlist Generator,Machine Learning,"Generate personalised playlists by clustering audio features (BPM, key, energy) using k-means + cosine sim.",Python Scikit-learn Librosa Pandas,Advanced,Kaggle Dataset,Recommendation Systems
Flight Delay Predictor,Machine Learning,"Predict flight delays from weather, carrier, and airport data using gradient boosting classification.",Python XGBoost Scikit-learn Pandas,Beginner,Government Dataset,Classification
Multilingual Text Classifier,NLP,Classify documents in 10 languages into predefined categories using XLM-RoBERTa fine-tuning.,Python Transformers HuggingFace Pandas,Advanced,Government Dataset,Natural Language Processing
Spam Email Classifier,NLP,Filter spam emails using TF-IDF + naive Bayes with multinomial likelihood estimation and threshold tuning.,Python Scikit-learn Pandas Matplotlib,Advanced,Kaggle Dataset,Natural Language Processing
Neighbourhood Crime Heatmap ML,Data Science,Predict neighbourhood safety scores from crime records using spatial clustering and regression.,Python Scikit-learn GeoPandas Folium,Intermediate,Synthetic Dataset,Classification
Autonomous Lane Detection,Computer Vision,Detect lane markings on roads from dashcam video using Hough transform and CNN segmentation.,Python OpenCV TensorFlow NumPy,Advanced,Synthetic Dataset,Computer Vision
Game Bot with Reinforcement Learning,AI,Train an RL agent to play Atari games using Deep Q-Network (DQN) with experience replay.,Python Stable-Baselines3 Gym PyTorch,Intermediate,API-Collected Dataset,Deep Learning
Options Pricing Model,Data Science,Implement Black-Scholes and neural-network-based options pricing models with Greeks visualisation.,Python NumPy TensorFlow Matplotlib,Intermediate,Web-Scraped Dataset,Regression
Industrial Anomaly Detector,Machine Learning,Detect manufacturing defects in sensor time-series data using autoencoder reconstruction error.,Python PyTorch Scikit-learn Pandas,Intermediate,Research Dataset,Deep Learning
Student Performance Predictor,Machine Learning,"Predict student exam scores from attendance, assignment scores, and activity logs using regression.",Python Scikit-learn Pandas Matplotlib,Intermediate,Kaggle Dataset,Regression
Insurance Premium Estimator,Machine Learning,Estimate insurance premium quotes from customer demographics and history using gradient boosted trees.,Python XGBoost Scikit-learn Pandas,Beginner,Government Dataset,Regression
Brain Tumor Segmentation,Computer Vision,Segment brain MRI scans to localise and grade tumour regions using U-Net architecture.,Python PyTorch OpenCV Scikit-learn,Beginner,Public Dataset,Computer Vision
Multilingual Text Classifier,NLP,Classify documents in 10 languages into predefined categories using XLM-RoBERTa fine-tuning.,Python Transformers HuggingFace Pandas,Beginner,Kaggle Dataset,Natural Language Processing
Flight Delay Predictor,Machine Learning,"Predict flight delays from weather, carrier, and airport data using gradient boosting classification.",Python XGBoost Scikit-learn Pandas,Intermediate,Government Dataset,Classification
Skin Lesion Classification,Computer Vision,Classify dermoscopic images into 7 skin conditions using EfficientNet with data augmentation.,Python TensorFlow Keras OpenCV,Beginner,Public Dataset,Computer Vision
Gesture Recognition Interface,Computer Vision,Translate hand gestures to commands using MediaPipe landmark extraction and LSTM classification.,Python MediaPipe TensorFlow OpenCV,Beginner,API-Collected Dataset,Computer Vision
Learning Path Recommender,Machine Learning,Recommend personalised online course sequences based on learner skill gaps and goals using collaborative filtering.,Python Scikit-learn Surprise Pandas,Beginner,Web-Scraped Dataset,Recommendation Systems
Customer Lifetime Value Predictor,Data Science,Estimate customer LTV using BG-NBD and Gamma-Gamma models with RFM segmentation.,Python Lifetimes Pandas Plotly,Intermediate,Government Dataset,Regression
Named Entity Recognition System,NLP,"Extract and classify entities (person, org, location) from text using SpaCy + custom training.",Python SpaCy Transformers Pandas,Intermediate,Synthetic Dataset,Natural Language Processing
Review Sentiment Analyser,NLP,"Classify product reviews into positive, neutral, and negative sentiments with aspect-level insights.",Python Transformers HuggingFace Pandas,Advanced,Open Dataset,Natural Language Processing
Music Playlist Generator,Machine Learning,"Generate personalised playlists by clustering audio features (BPM, key, energy) using k-means + cosine sim.",Python Scikit-learn Librosa Pandas,Advanced,Research Dataset,Recommendation Systems
Face Recognition Access System,Computer Vision,Build a face-recognition attendance system using FaceNet embeddings and cosine similarity matching.,Python TensorFlow OpenCV DeepFace,Advanced,API-Collected Dataset,Computer Vision
News Article Recommender,NLP,Recommend news articles based on reading habits using SBERT semantic similarity and user embeddings.,Python Transformers FAISS Pandas,Intermediate,Kaggle Dataset,Recommendation Systems
Gesture Recognition Interface,Computer Vision,Translate hand gestures to commands using MediaPipe landmark extraction and LSTM classification.,Python MediaPipe TensorFlow OpenCV,Intermediate,API-Collected Dataset,Computer Vision
Property Listing Classifier,NLP,Classify real-estate listings into property types from listing description text using TF-IDF + SVM.,Python Scikit-learn Pandas Matplotlib,Beginner,Government Dataset,Natural Language Processing
Rent Yield Predictor,Data Science,Predict rental yield percentages from property listing features using gradient boosting regression.,Python Scikit-learn Pandas Plotly,Beginner,Research Dataset,Regression
Music Playlist Generator,Machine Learning,"Generate personalised playlists by clustering audio features (BPM, key, energy) using k-means + cosine sim.",Python Scikit-learn Librosa Pandas,Advanced,Public Dataset,Recommendation Systems
Multilingual Text Classifier,NLP,Classify documents in 10 languages into predefined categories using XLM-RoBERTa fine-tuning.,Python Transformers HuggingFace Pandas,Intermediate,Synthetic Dataset,Natural Language Processing
Cart Abandonment Predictor,Machine Learning,Predict which users will abandon their shopping cart and trigger targeted retention campaigns.,Python XGBoost Scikit-learn Pandas,Advanced,Synthetic Dataset,Classification
Multi-Task Learning Framework,Deep Learning,Train a shared backbone network on multiple related NLP tasks simultaneously with task-specific heads.,Python PyTorch Transformers HuggingFace,Intermediate,Web-Scraped Dataset,Deep Learning
Insurance Premium Estimator,Machine Learning,Estimate insurance premium quotes from customer demographics and history using gradient boosted trees.,Python XGBoost Scikit-learn Pandas,Beginner,Public Dataset,Regression
Chess AI Engine,AI,Build a chess-playing AI using Monte Carlo Tree Search and a policy-value neural network.,Python PyTorch NumPy Chess,Advanced,Kaggle Dataset,Deep Learning
Customer Lifetime Value Predictor,Data Science,Estimate customer LTV using BG-NBD and Gamma-Gamma models with RFM segmentation.,Python Lifetimes Pandas Plotly,Beginner,Open Dataset,Regression
Hyperparameter Tuning Engine,Machine Learning,Automate hyperparameter search using Bayesian optimisation (Optuna) and compare CV results.,Python Optuna Scikit-learn XGBoost,Intermediate,Open Dataset,Classification
Mental Health Sentiment Tracker,NLP,Analyse social media posts to detect mental health distress signals using fine-tuned BERT.,Python Transformers HuggingFace Pandas,Intermediate,Research Dataset,Natural Language Processing
Hyperparameter Tuning Engine,Machine Learning,Automate hyperparameter search using Bayesian optimisation (Optuna) and compare CV results.,Python Optuna Scikit-learn XGBoost,Beginner,Open Dataset,Classification
Handwriting Recognition System,Computer Vision,Recognise handwritten digits and characters using CNN trained on MNIST and IAM datasets.,Python TensorFlow Keras OpenCV,Intermediate,Synthetic Dataset,Computer Vision
Waste Classification System,Computer Vision,"Classify waste images into recyclable categories (paper, plastic, glass) using ResNet-50 transfer learning.",Python TensorFlow Keras OpenCV,Intermediate,Open Dataset,Computer Vision
Cryptocurrency Sentiment Dashboard,NLP,Aggregate crypto news and Twitter sentiment scores to generate buy/sell signals using VADER + RoBERTa.,Python Transformers Pandas Streamlit,Beginner,Government Dataset,Natural Language Processing
Content Moderation Classifier,NLP,Automatically flag toxic and rule-violating content using a multi-label BERT classifier.,Python Transformers HuggingFace Pandas,Intermediate,Open Dataset,Natural Language Processing
Age and Gender Estimator,Computer Vision,Estimate age and gender from facial images using deep CNNs trained on the UTKFace dataset.,Python TensorFlow OpenCV DeepFace,Beginner,API-Collected Dataset,Computer Vision
Traffic Flow Predictor,Data Science,Predict road traffic density per segment using historical GPS probe data and weather with LSTM.,Python TensorFlow Pandas Folium,Intermediate,Public Dataset,Time Series
Text-to-Image Concept Explorer,Computer Vision,Fine-tune a diffusion model on a custom concept dataset and generate novel images from text prompts.,Python Diffusers HuggingFace PyTorch,Intermediate,Open Dataset,Deep Learning
Document Scanner + OCR,Computer Vision,"Build a mobile-friendly document scanner that detects edges, deskews, and extracts text via Tesseract.",Python OpenCV Tesseract Scikit-image,Intermediate,Kaggle Dataset,Computer Vision
Vehicle Detection System,Computer Vision,Count and classify vehicles from traffic cameras using YOLOv8 with lane-level analytics.,Python PyTorch Ultralytics OpenCV,Beginner,Public Dataset,Computer Vision
Student Performance Predictor,Machine Learning,"Predict student exam scores from attendance, assignment scores, and activity logs using regression.",Python Scikit-learn Pandas Matplotlib,Beginner,Government Dataset,Regression
Learning Path Recommender,Machine Learning,Recommend personalised online course sequences based on learner skill gaps and goals using collaborative filtering.,Python Scikit-learn Surprise Pandas,Beginner,API-Collected Dataset,Recommendation Systems
Wildfire Smoke Detector,Computer Vision,Detect wildfire smoke from satellite imagery using CNN classification with geographic overlays.,Python PyTorch OpenCV Matplotlib,Beginner,Open Dataset,Computer Vision
Learning Path Recommender,Machine Learning,Recommend personalised online course sequences based on learner skill gaps and goals using collaborative filtering.,Python Scikit-learn Surprise Pandas,Intermediate,Kaggle Dataset,Recommendation Systems
Heart Disease Risk Predictor,Machine Learning,Predict patient heart disease risk from clinical features using ensemble classifiers and SHAP explainability.,Python Scikit-learn XGBoost Pandas,Advanced,Synthetic Dataset,Classification
Code Comment Generator,NLP,Generate docstrings and inline comments for Python functions using a fine-tuned CodeBERT model.,Python Transformers HuggingFace FastAPI,Advanced,Synthetic Dataset,Natural Language Processing
Real-Time Object Detector,Computer Vision,Detect and track objects in live video streams using YOLOv8 with custom dataset fine-tuning.,Python PyTorch OpenCV Ultralytics,Intermediate,API-Collected Dataset,Computer Vision
Document Summarisation Engine,NLP,Summarise long PDFs and reports using extractive (TextRank) and abstractive (BART) techniques.,Python Transformers HuggingFace PyPDF2,Beginner,Public Dataset,Natural Language Processing
Portfolio Optimiser,Data Science,Build a mean-variance portfolio optimisation tool with Monte Carlo simulations and Sharpe-ratio maximisation.,Python NumPy Pandas Plotly,Advanced,Research Dataset,Regression
Solar Power Output Forecaster,Data Science,Predict solar panel output from irradiance and temperature forecasts using XGBoost regression.,Python XGBoost Pandas Plotly,Advanced,Kaggle Dataset,Regression
Customer Lifetime Value Predictor,Data Science,Estimate customer LTV using BG-NBD and Gamma-Gamma models with RFM segmentation.,Python Lifetimes Pandas Plotly,Intermediate,Open Dataset,Regression
Content Moderation Classifier,NLP,Automatically flag toxic and rule-violating content using a multi-label BERT classifier.,Python Transformers HuggingFace Pandas,Intermediate,Synthetic Dataset,Natural Language Processing
Irrigation Optimiser,Data Science,Recommend irrigation schedules based on soil moisture sensors and weather forecasts using LSTM.,Python TensorFlow Pandas Plotly,Intermediate,API-Collected Dataset,Time Series
Heart Disease Risk Predictor,Machine Learning,Predict patient heart disease risk from clinical features using ensemble classifiers and SHAP explainability.,Python Scikit-learn XGBoost Pandas,Intermediate,Government Dataset,Classification
Handwriting Recognition System,Computer Vision,Recognise handwritten digits and characters using CNN trained on MNIST and IAM datasets.,Python TensorFlow Keras OpenCV,Advanced,Government Dataset,Computer Vision
Resume Parser + Job Matcher,NLP,Extract skills and experience from resumes and match them to job postings using semantic similarity.,Python SpaCy Transformers Scikit-learn,Intermediate,Web-Scraped Dataset,Natural Language Processing
Ride-Sharing Demand Forecaster,Data Science,Forecast ride-share demand at zone-hour level using spatio-temporal LSTM on NYC taxi data.,Python TensorFlow Pandas Folium,Beginner,Web-Scraped Dataset,Time Series
Neighbourhood Crime Heatmap ML,Data Science,Predict neighbourhood safety scores from crime records using spatial clustering and regression.,Python Scikit-learn GeoPandas Folium,Beginner,Research Dataset,Classification
Twitter Trend Forecaster,NLP,Forecast trending topics on Twitter 6 hours ahead using NLP feature extraction and time-series regression.,Python Transformers Pandas Prophet,Intermediate,Kaggle Dataset,Natural Language Processing
Pothole Detection System,Computer Vision,Automatically detect road potholes from dashcam footage using semantic segmentation with DeepLab.,Python TensorFlow OpenCV Pandas,Intermediate,Synthetic Dataset,Computer Vision
Neighbourhood Crime Heatmap ML,Data Science,Predict neighbourhood safety scores from crime records using spatial clustering and regression.,Python Scikit-learn GeoPandas Folium,Intermediate,API-Collected Dataset,Classification
Neighbourhood Crime Heatmap ML,Data Science,Predict neighbourhood safety scores from crime records using spatial clustering and regression.,Python Scikit-learn GeoPandas Folium,Intermediate,Open Dataset,Classification
Game Bot with Reinforcement Learning,AI,Train an RL agent to play Atari games using Deep Q-Network (DQN) with experience replay.,Python Stable-Baselines3 Gym PyTorch,Beginner,Web-Scraped Dataset,Deep Learning
Industrial Anomaly Detector,Machine Learning,Detect manufacturing defects in sensor time-series data using autoencoder reconstruction error.,Python PyTorch Scikit-learn Pandas,Advanced,Research Dataset,Deep Learning
Hate Speech Moderator,NLP,Detect and classify hate speech and offensive language in social-media posts using multi-class BERT.,Python Transformers HuggingFace Pandas,Advanced,Web-Scraped Dataset,Natural Language Processing
Age and Gender Estimator,Computer Vision,Estimate age and gender from facial images using deep CNNs trained on the UTKFace dataset.,Python TensorFlow OpenCV DeepFace,Intermediate,Public Dataset,Computer Vision
Delivery Route Optimiser,Data Science,Optimise last-mile delivery routes using the vehicle routing problem (VRP) with OR-Tools and demand clustering.,Python OR-Tools Pandas NumPy,Advanced,Kaggle Dataset,Regression
Soil Health Analyser,Data Science,Analyse soil test data to predict soil health scores and recommend fertilisers using regression models.,Python Scikit-learn Pandas Plotly,Advanced,Research Dataset,Regression
Neighbourhood Crime Heatmap ML,Data Science,Predict neighbourhood safety scores from crime records using spatial clustering and regression.,Python Scikit-learn GeoPandas Folium,Intermediate,Government Dataset,Classification
Tabular Data AutoML Pipeline,Machine Learning,Build an automated ML pipeline that selects optimal models and features for any tabular dataset.,Python Scikit-learn TPOT Pandas,Intermediate,Kaggle Dataset,Classification
Price Comparison Scraper + ML Pricer,Data Science,Scrape competitor prices and predict the optimal listing price using regression with market features.,Python Scikit-learn BeautifulSoup Pandas,Beginner,Open Dataset,Regression
Game Bot with Reinforcement Learning,AI,Train an RL agent to play Atari games using Deep Q-Network (DQN) with experience replay.,Python Stable-Baselines3 Gym PyTorch,Beginner,Public Dataset,Deep Learning
Skin Lesion Classification,Computer Vision,Classify dermoscopic images into 7 skin conditions using EfficientNet with data augmentation.,Python TensorFlow Keras OpenCV,Advanced,Public Dataset,Computer Vision
